"checking_time";"current_world_population";"births_this_year";"births_today";"deaths_this_year";"deaths_today";"net_population_growth_this_year";"net_population_growth_today";"public_healthcare_expenditure_today";"public_education_expenditure_today";"public_military_expenditure_today";"cars_produced_this_year";"bicycles_produced_this_year";"computers_produced_this_year";"new_book_titles_published_this_year";"newspapers_circulated_today";"tv_sets_sold_worldwide_today";"cellular_phones_sold_today";"money_spent_on_videogames_today";"internet_users_in_the_world_today";"emails_sent_today";"blog_posts_written_today";"tweets_sent_today";"google_searches_today";"forest_loss_this_year";"land_lost_to_soil_erosion_this_year";"co2_emissions_this_year";"desertification_this_year";"toxic_chemicals_released_in_the_environment_this_year";"undernourished_people_in_the_world";"overweight_people_in_the_world";"obese_people_in_the_world";"people_who_died_of_hunger_today";"money_spent_for_obesity_related_diseases_in_the_usa_today";"money_spent_on_weight_loss_programs_in_the_usa_today";"water_used_this_year";"deaths_caused_by_water_related_diseases_this_year";"people_with_no_access_to_a_safe_drinking_water_source";"energy_used_today";"non-renewable_sources";"renewable_sources";"solar_energy_striking_earth_today";"oil_pumped_today";"oil_left";"days_to_the_end_of_oil";"natural_gas_left";"days_to_the_end_of_natural_gas";"coal_left";"days_to_the_end_of_coal";"communicable_disease_deaths_this_year";"seasonal_flu_deaths_this_year";"deaths_of_children_under_5_this_year";"abortions_this_year";"deaths_of_mothers_during_birth_this_year";"hiv_or_aids_infected_people";"deaths_caused_by_hiv_or_aids_this_year";"deaths_caused_by_cancer_this_year";"deaths_caused_by_malaria_this_year";"cigarettes_smoked_today";"deaths_caused_by_smoking_this_year";"deaths_caused_by_alcohol_this_year";"suicides_this_year";"money_spent_on_illegal_drugs_this_year";"road_traffic_accident_fatalities_this_year"
"19/05/2022_15:00";"7948060361";"53188018";"239963";"22329604";"100742";"30858414";"139221";"10018679438";"6757450153";"2955825007";"31411483";"58556940";"91569926";"1042003";"292575112";"419874";"4403081";"192821622";"5308535369";"176781478870";"5376258";"540771642";"5528486677";"1974450";"2658144";"13818278494";"4555962";"3717809";"860801398";"1727400284";"809287649";"19156";"388478209";"118412338";"1706618694";"319696";"782165459";"292357469";"248871186";"44026485";"1831926429212";"59962452";"1438395804764";"15000";"1081973443395";"56946";"4295304895367";"148114";"4928342";"188782";"2885642";"16218307";"117341";"43642574";"638194";"3117931";"149706";"9481306122";"1897819";"949508";"407103";"151873398959";"512471"
"19/05/2022_16:00";"7948069661";"53204047";"255992";"22336334";"107472";"30867713";"148520";"10687951108";"7208857988";"3153271280";"31421042";"58574668";"91597321";"1042319";"312118384";"447921";"4697222";"205702523";"5308581266";"188591066169";"5735458";"576898010";"5897852757";"1975045";"2658945";"13822448302";"4557336";"3718930";"860802421";"1727402227";"809290642";"20435";"414429725";"126322110";"1707136104";"319792";"782164393";"311886524";"265495421";"46967391";"1954296464011";"63967857";"1438391799140";"15000";"1081972649487";"56946";"4295303682853";"148114";"4929827";"188839";"2886512";"16223199";"117377";"43642679";"638387";"3118870";"149751";"10114643652";"1898391";"949794";"407226";"151919168831";"512625"
"19/05/2022_17:00";"7948078915";"53219999";"271944";"22343031";"114169";"30876968";"157775";"11353979744";"7658077736";"3349759576";"31430554";"58592309";"91624584";"1042633";"331566777";"475832";"4989939";"218521002";"5308626935";"200343449021";"6092925";"612849513";"6265435246";"1975637";"2659742";"13826597878";"4558702";"3720045";"860803438";"1727404161";"809293621";"21708";"440255520";"134193499";"1707651005";"319888";"782163332";"331320811";"282038983";"49894025";"2076072668211";"67953825";"1438387813368";"15000";"1081971859514";"56946";"4295302476349";"148114";"4931305";"188896";"2887378";"16228067";"117412";"43642784";"638578";"3119805";"149796";"10744907756";"1898960";"950079";"407348";"151964716593";"512779"
"19/05/2022_18:00";"7948088201";"53236003";"287948";"22349749";"120887";"30886254";"167061";"12022195076";"8108771613";"3546891747";"31440097";"58610008";"91651935";"1042948";"351078842";"503835";"5283618";"231381562";"5308672758";"212134437438";"6451572";"648919243";"6634230807";"1976231";"2660542";"13830761051";"4560073";"3721163";"860804459";"1727406101";"809296609";"22986";"466166138";"142090674";"1708167595";"319984";"782162268";"350818764";"298636742";"52830246";"2198247811544";"71952851";"1438383814276";"15000";"1081971066902";"56946";"4295301265813";"148114";"4932788";"188953";"2888246";"16232952";"117447";"43642888";"638770";"3120744";"149841";"11377236607";"1899531";"950365";"407470";"152010413569";"512933"
"19/05/2022_19:00";"7948097471";"53251982";"303927";"22356458";"127596";"30895524";"176331";"12689420300";"8558796950";"3743730592";"31449627";"58627680";"91679246";"1043262";"370561817";"531796";"5576862";"244223060";"5308718511";"223907975244";"6809695";"684935719";"7002486144";"1976824";"2661340";"13834918029";"4561442";"3722280";"860805479";"1727408038";"809299593";"24262";"492038393";"149976092";"1708683417";"320080";"782161205";"370287687";"315209788";"55762096";"2320241051655";"75945923";"1438379821307";"15000";"1081970275502";"56946";"4295300057131";"148114";"4934269";"189010";"2889113";"16237829";"117483";"43642993";"638962";"3121680";"149886";"12008624002";"1900101";"950650";"407593";"152056042509";"513087"
"19/05/2022_20:00";"7948106767";"53268003";"319948";"22363184";"134322";"30904819";"185626";"13358353178";"9009973309";"3941071980";"31459181";"58645398";"91706626";"1043577";"390094474";"559828";"5870858";"257097418";"5308764385";"235711665852";"7168740";"721044564";"7371690216";"1977419";"2662141";"13839085619";"4562814";"3723400";"860806501";"1727409980";"809302585";"25541";"517976895";"157881634";"1709200558";"320176";"782160140";"389806298";"331825132";"58701429";"2442545636561";"79949185";"1438375817727";"15000";"1081969482000";"56946";"4295298845236";"148114";"4935753";"189067";"2889982";"16242718";"117518";"43643098";"639154";"3122619";"149931";"12641622790";"1900673";"950936";"407715";"152101787900";"513242"
"19/05/2022_21:00";"7948116030";"53283970";"335915";"22369887";"141025";"30914083";"194890";"14025047667";"9459639198";"4137751791";"31468702";"58663057";"91733914";"1043892";"409561592";"587766";"6163870";"269928691";"5308810100";"247475879157";"7526591";"757032772";"7739665078";"1978012";"2662939";"13843239237";"4564181";"3724516";"860807519";"1727411916";"809305566";"26815";"543828632";"165760666";"1709715967";"320272";"782159078";"409259456";"348384758";"61630905";"2564440091421";"83939024";"1438371828163";"15000";"1081968691276";"56946";"4295297637584";"148114";"4937233";"189124";"2890848";"16247591";"117553";"43643202";"639346";"3123555";"149976";"13272498911";"1901242";"951221";"407838";"152147379892";"513395"
"19/05/2022_22:00";"7948125307";"53299958";"351903";"22376599";"147737";"30923359";"204166";"14692617016";"9909894415";"4334688463";"31478237";"58680738";"91761238";"1044206";"429054075";"615741";"6457267";"282776796";"5308855881";"259255550186";"7884918";"793068397";"8108129035";"1978605";"2663738";"13847398280";"4565551";"3725634";"860808539";"1727413854";"809308552";"28091";"569714323";"173649981";"1710232050";"320368";"782158014";"428738001";"364965996";"64564204";"2686493626820";"87934069";"1438367832844";"15000";"1081967899411";"56946";"4295296428191";"148114";"4938714";"189181";"2891716";"16252471";"117588";"43643308";"639537";"3124493";"150021";"13904198369";"1901813";"951506";"407960";"152193031383";"513549"
"19/05/2022_23:00";"7948134586";"53315953";"367898";"22383314";"154452";"30932639";"213446";"15360514072";"10360369919";"4531720577";"31487776";"58698428";"91788575";"1044521";"448555947";"643729";"6750809";"295631203";"5308901679";"271041024129";"8243428";"829121902";"8476780102";"1979199";"2664537";"13851559337";"4566921";"3726752";"860809560";"1727415793";"809311539";"29368";"595612752";"181543112";"1710748384";"320465";"782156951";"448225969";"381555255";"67498922";"2808606202770";"91931047";"1438363836073";"15000";"1081967107258";"56946";"4295295218357";"148114";"4940196";"189238";"2892583";"16257353";"117624";"43643412";"639729";"3125430";"150066";"14536203397";"1902384";"951792";"408082";"152238704958";"513704"
"20/05/2022_01:00";"7948153212";"53348054";"16201";"22396791";"6802";"30951262";"9399";"676430455";"456238517";"199561978";"31506919";"58733930";"91843435";"1045153";"19752861";"28348";"297286";"13018696";"5308993605";"11935845373";"363022";"36512208";"373298024";"1980391";"2666142";"13859909917";"4569671";"3728995";"860811607";"1727419685";"809317534";"1293";"26229010";"7994551";"1711784590";"320658";"782154816";"19738370";"16802415";"2972426";"123681609934";"4048335";"1438355813815";"15000";"1081965517261";"56946";"4295292789998";"148114";"4943171";"189352";"2894325";"16267150";"117695";"43643632";"640114";"3127312";"150157";"640125710";"1903529";"952365";"408328";"152330364438";"514013"
"20/05/2022_02:00";"7948162476";"53364018";"32165";"22403492";"13503";"30960525";"18662";"1342950950";"905792225";"396199061";"31516439";"58751585";"91870717";"1045467";"39216154";"56280";"590217";"25846658";"5309039319";"23696846528";"720733";"72489691";"741133348";"1980983";"2666939";"13864062675";"4571038";"3730111";"860812626";"1727421620";"809320515";"2568";"52073787";"15871921";"1712299899";"320754";"782153754";"39187426";"33358550";"5901285";"245550359603";"8037332";"1438351824395";"15000";"1081964726565";"56946";"4295291582390";"148114";"4944650";"189409";"2895191";"16272022";"117730";"43643736";"640306";"3128248";"150202";"1270868792";"1904099";"952650";"408450";"152375946815";"514167"
